text,author,tags,clean_text
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,"change, deep-thoughts, thinking, world",world created process thinking cannot changed without changing thinking
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,"abilities, choices",choices harry show truly far abilities
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,"inspirational, life, live, miracle, miracles",two ways live life one though nothing miracle though everything miracle
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,"aliteracy, books, classic, humor",person gentleman lady pleasure good novel must intolerably stupid
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,"be-yourself, inspirational",imperfection beauty madness genius better absolutely ridiculous absolutely boring
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,"adulthood, success, value",try become man success rather become man value
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,"life, love",better hated loved
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,"edison, failure, inspirational, paraphrased",failed found ways work
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,misattributed-eleanor-roosevelt,woman like tea bag never know strong hot water
"“A day without sunshine is like, you know, night.”",Steve Martin,"humor, obvious, simile",day without sunshine like know night
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,"friends, heartbreak, inspirational, life, love, sisters",life make matter going mess sometimes universal truth good part get decide going mess girls friends act like anyway remember come go ones stay everything true best friends let go also remember sisters make best friends world lovers well come go baby hate say actually pretty much going break heart give give never find soulmate never find half makes whole goes everything fail mean gonna fail everything keep trying hold always always always believe sweetie keep head high keep chin importantly keep smiling life beautiful thing much smile
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,"courage, friends",takes great deal bravery stand enemies much stand friends
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,"simplicity, understand",explain six year old understand
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,love,may first last loved may love loves else matters perfect either two may never perfect together make laugh cause think twice admit human making mistakes hold onto give may thinking every second day give part knows break heart hurt change analyze expect give smile makes happy let know makes mad miss
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,fantasy,like nonsense wakes brain cells fantasy necessary ingredient living
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,"life, navigation",may gone intended go think ended needed
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,"activism, apathy, hate, indifference, inspirational, love, opposite, philosophy",opposite love hate indifference opposite art ugliness indifference opposite faith heresy indifference opposite life death indifference
